point_id,model_id,public_status,failure_kind,failure_cause,timed_out,exit_code,raw_output_path,raw_row_count,stdout_log_path,stderr_log_path,chunk_tokens
prefill-facebook-opt-2-7b-chunk-256-sm-24,facebook/opt-2.7b,success,,,False,0,/mnt/data/dheeraj/dicertation/inference-profile/runs/revised-full-20260414-g4-opt27b-c64-256/raw/points/prefill/prefill-facebook-opt-2-7b-chunk-256-sm-24.csv,35,/mnt/data/dheeraj/dicertation/inference-profile/runs/revised-full-20260414-g4-opt27b-c64-256/logs/prefill-facebook-opt-2-7b-chunk-256-sm-24.stdout.log,/mnt/data/dheeraj/dicertation/inference-profile/runs/revised-full-20260414-g4-opt27b-c64-256/logs/prefill-facebook-opt-2-7b-chunk-256-sm-24.stderr.log,256
prefill-facebook-opt-2-7b-chunk-256-sm-32,facebook/opt-2.7b,success,,,False,0,/mnt/data/dheeraj/dicertation/inference-profile/runs/revised-full-20260414-g4-opt27b-c64-256/raw/points/prefill/prefill-facebook-opt-2-7b-chunk-256-sm-32.csv,35,/mnt/data/dheeraj/dicertation/inference-profile/runs/revised-full-20260414-g4-opt27b-c64-256/logs/prefill-facebook-opt-2-7b-chunk-256-sm-32.stdout.log,/mnt/data/dheeraj/dicertation/inference-profile/runs/revised-full-20260414-g4-opt27b-c64-256/logs/prefill-facebook-opt-2-7b-chunk-256-sm-32.stderr.log,256
prefill-facebook-opt-2-7b-chunk-512-sm-8,facebook/opt-2.7b,success,,,False,0,/mnt/data/dheeraj/dicertation/inference-profile/runs/revised-full-20260414-g5-opt27b-c512-1024/raw/points/prefill/prefill-facebook-opt-2-7b-chunk-512-sm-8.csv,35,/mnt/data/dheeraj/dicertation/inference-profile/runs/revised-full-20260414-g5-opt27b-c512-1024/logs/prefill-facebook-opt-2-7b-chunk-512-sm-8.stdout.log,/mnt/data/dheeraj/dicertation/inference-profile/runs/revised-full-20260414-g5-opt27b-c512-1024/logs/prefill-facebook-opt-2-7b-chunk-512-sm-8.stderr.log,512
prefill-facebook-opt-2-7b-chunk-512-sm-16,facebook/opt-2.7b,success,,,False,0,/mnt/data/dheeraj/dicertation/inference-profile/runs/revised-full-20260414-g5-opt27b-c512-1024/raw/points/prefill/prefill-facebook-opt-2-7b-chunk-512-sm-16.csv,35,/mnt/data/dheeraj/dicertation/inference-profile/runs/revised-full-20260414-g5-opt27b-c512-1024/logs/prefill-facebook-opt-2-7b-chunk-512-sm-16.stdout.log,/mnt/data/dheeraj/dicertation/inference-profile/runs/revised-full-20260414-g5-opt27b-c512-1024/logs/prefill-facebook-opt-2-7b-chunk-512-sm-16.stderr.log,512
prefill-facebook-opt-2-7b-chunk-512-sm-24,facebook/opt-2.7b,success,,,False,0,/mnt/data/dheeraj/dicertation/inference-profile/runs/revised-full-20260414-g5-opt27b-c512-1024/raw/points/prefill/prefill-facebook-opt-2-7b-chunk-512-sm-24.csv,35,/mnt/data/dheeraj/dicertation/inference-profile/runs/revised-full-20260414-g5-opt27b-c512-1024/logs/prefill-facebook-opt-2-7b-chunk-512-sm-24.stdout.log,/mnt/data/dheeraj/dicertation/inference-profile/runs/revised-full-20260414-g5-opt27b-c512-1024/logs/prefill-facebook-opt-2-7b-chunk-512-sm-24.stderr.log,512
prefill-facebook-opt-2-7b-chunk-512-sm-32,facebook/opt-2.7b,success,,,False,0,/mnt/data/dheeraj/dicertation/inference-profile/runs/revised-full-20260414-g5-opt27b-c512-1024/raw/points/prefill/prefill-facebook-opt-2-7b-chunk-512-sm-32.csv,35,/mnt/data/dheeraj/dicertation/inference-profile/runs/revised-full-20260414-g5-opt27b-c512-1024/logs/prefill-facebook-opt-2-7b-chunk-512-sm-32.stdout.log,/mnt/data/dheeraj/dicertation/inference-profile/runs/revised-full-20260414-g5-opt27b-c512-1024/logs/prefill-facebook-opt-2-7b-chunk-512-sm-32.stderr.log,512
prefill-facebook-opt-2-7b-chunk-1024-sm-8,facebook/opt-2.7b,success,,,False,0,/mnt/data/dheeraj/dicertation/inference-profile/runs/revised-full-20260414-g5-opt27b-c512-1024/raw/points/prefill/prefill-facebook-opt-2-7b-chunk-1024-sm-8.csv,35,/mnt/data/dheeraj/dicertation/inference-profile/runs/revised-full-20260414-g5-opt27b-c512-1024/logs/prefill-facebook-opt-2-7b-chunk-1024-sm-8.stdout.log,/mnt/data/dheeraj/dicertation/inference-profile/runs/revised-full-20260414-g5-opt27b-c512-1024/logs/prefill-facebook-opt-2-7b-chunk-1024-sm-8.stderr.log,1024
prefill-facebook-opt-2-7b-chunk-1024-sm-16,facebook/opt-2.7b,success,,,False,0,/mnt/data/dheeraj/dicertation/inference-profile/runs/revised-full-20260414-g5-opt27b-c512-1024/raw/points/prefill/prefill-facebook-opt-2-7b-chunk-1024-sm-16.csv,35,/mnt/data/dheeraj/dicertation/inference-profile/runs/revised-full-20260414-g5-opt27b-c512-1024/logs/prefill-facebook-opt-2-7b-chunk-1024-sm-16.stdout.log,/mnt/data/dheeraj/dicertation/inference-profile/runs/revised-full-20260414-g5-opt27b-c512-1024/logs/prefill-facebook-opt-2-7b-chunk-1024-sm-16.stderr.log,1024
prefill-facebook-opt-2-7b-chunk-1024-sm-24,facebook/opt-2.7b,success,,,False,0,/mnt/data/dheeraj/dicertation/inference-profile/runs/revised-full-20260414-g5-opt27b-c512-1024/raw/points/prefill/prefill-facebook-opt-2-7b-chunk-1024-sm-24.csv,35,/mnt/data/dheeraj/dicertation/inference-profile/runs/revised-full-20260414-g5-opt27b-c512-1024/logs/prefill-facebook-opt-2-7b-chunk-1024-sm-24.stdout.log,/mnt/data/dheeraj/dicertation/inference-profile/runs/revised-full-20260414-g5-opt27b-c512-1024/logs/prefill-facebook-opt-2-7b-chunk-1024-sm-24.stderr.log,1024
prefill-facebook-opt-2-7b-chunk-1024-sm-32,facebook/opt-2.7b,success,,,False,0,/mnt/data/dheeraj/dicertation/inference-profile/runs/revised-full-20260414-g5-opt27b-c512-1024/raw/points/prefill/prefill-facebook-opt-2-7b-chunk-1024-sm-32.csv,35,/mnt/data/dheeraj/dicertation/inference-profile/runs/revised-full-20260414-g5-opt27b-c512-1024/logs/prefill-facebook-opt-2-7b-chunk-1024-sm-32.stdout.log,/mnt/data/dheeraj/dicertation/inference-profile/runs/revised-full-20260414-g5-opt27b-c512-1024/logs/prefill-facebook-opt-2-7b-chunk-1024-sm-32.stderr.log,1024
