model_id,block_size,kv_block_bytes,transfer_only_us,overlap_total_us,dummy_compute_us,exposed_transfer_us,timed_iteration
facebook/opt-350m,256,1048576,262.2399926185608,155839.26391601562,155371.71936035156,467.5445556640625,0
facebook/opt-350m,256,1048576,379.8080086708069,646.1439728736877,364.7040128707886,281.43996000289917,1
facebook/opt-350m,256,1048576,271.39198780059814,615.4559850692749,347.135990858078,268.3199942111969,2
facebook/opt-350m,256,1048576,267.551988363266,590.8480286598206,327.67999172210693,263.1680369377136,3
facebook/opt-350m,256,1048576,267.7119970321655,597.8559851646423,333.8559865951538,263.9999985694885,4
