time_ms,sm_utilization,slot_duration_ms,source_schema
106695263.054431,100,11.7205559909344,schema_b
106695274.774987,100,2.99728299677372,schema_b
106695277.77227,100,2.2211540043354,schema_b
106695279.993424,100,2.91262699663639,schema_b
106695282.906051,100,41.0355450063944,schema_b
106695323.941596,100,2.9121789932251,schema_b
106695326.853775,100,2.17737901210785,schema_b
106695329.031154,100,2.29942598938942,schema_b
106695331.33058,100,14.2018060088158,schema_b
106695345.532386,100,2.90888299047947,schema_b
106695348.441269,100,2.98904299736023,schema_b
106695351.430312,100,3.06822700798512,schema_b
106695354.498539,100,10.4974189996719,schema_b
106695364.995958,100,2.27933000028133,schema_b
106695367.275288,100,12.4148769974709,schema_b
106695379.690165,100,1.81331400573254,schema_b
106695381.503479,100,1.52248099446297,schema_b
106695383.02596,100,5.28994099795818,schema_b
106695388.315901,100,2.29494699835777,schema_b
106695390.610848,100,9.00367300212383,schema_b
106695399.614521,100,3.51137900352478,schema_b
106695403.1259,100,2.77848300337791,schema_b
106695405.904383,100,20.592148989439,schema_b
106695426.496532,100,1.85845001041889,schema_b
106695428.354982,100,8.57019999623299,schema_b
106695436.925182,100,1.8422580063343,schema_b
106695438.76744,100,2.52715499699116,schema_b
106695441.294595,100,56.3764729946852,schema_b
106695497.671068,100,57.6037860065699,schema_b
106695555.274854,100,51.6918119937181,schema_b
106695606.966666,100,60.2969090044498,schema_b
106695667.263575,100,54.5559429973364,schema_b
106695721.819518,100,51.4879080057144,schema_b
106695773.307426,100,56.7335129976273,schema_b
106695830.040939,100,55.7466959953308,schema_b
106695885.787635,100,47.5145920068026,schema_b
106695933.302227,100,52.5290450006723,schema_b
106695985.831272,100,47.4230719953775,schema_b
106696033.254344,100,53.2329660058022,schema_b
106696086.48731,100,55.7256559878588,schema_b
106696142.212966,100,52.3504690080881,schema_b
106696194.563435,100,56.729881003499,schema_b
106696251.293316,100,56.3070329874754,schema_b
106696307.600349,100,59.7896440029144,schema_b
106696367.389993,100,56.9984250068665,schema_b
106696424.388418,100,48.4775689989328,schema_b
106696472.865987,100,56.5890170037746,schema_b
106696529.455004,100,50.6072189956903,schema_b
106696580.062223,100,59.6038679927588,schema_b
106696639.666091,100,54.8427920043468,schema_b
106696694.508883,100,55.3242789953947,schema_b
106696749.833162,100,46.7900480031967,schema_b
106696796.62321,100,55.8931920081377,schema_b
106696852.516402,100,56.0717519968748,schema_b
106696908.588154,100,57.6253549903631,schema_b
106696966.213509,100,52.7672210037708,schema_b
106697018.98073,100,56.2877359986305,schema_b
106697075.268466,100,51.9026930034161,schema_b
106697127.171159,100,56.6798329949379,schema_b
106697183.850992,100,40.8843770027161,schema_b
106697224.735369,100,51.5551560074091,schema_b
106697276.290525,100,50.4899549931288,schema_b
106697326.78048,100,49.3999380022287,schema_b
106697376.180418,100,54.2440380007029,schema_b
106697430.424456,100,56.7351769953966,schema_b
106697487.159633,100,54.4222790002823,schema_b
106697541.581912,100,57.3409540057182,schema_b
106697598.922866,100,55.048103004694,schema_b
106697653.970969,100,49.6769309937954,schema_b
106697703.6479,100,59.2588270008564,schema_b
106697762.906727,100,53.1621979922056,schema_b
106697816.068925,100,60.3800290077925,schema_b
106697876.448954,100,60.3135319948196,schema_b
106697936.762486,100,59.1450520008802,schema_b
106697995.907538,100,61.0198850035667,schema_b
106698056.927423,100,55.7023770064116,schema_b
106698112.6298,100,60.5234519988298,schema_b
106698173.153252,100,53.3085339963436,schema_b
106698226.461786,100,59.4173399955034,schema_b
106698285.879126,100,59.6561239957809,schema_b
106698345.53525,100,58.797051012516,schema_b
106698404.332301,100,57.9144430011511,schema_b
106698462.246744,100,34.9811709970236,schema_b
106698497.227915,100,52.0264679938555,schema_b
106698549.254383,100,48.463089004159,schema_b
106698597.717472,100,56.7241850048304,schema_b
106698654.441657,100,61.150461986661,schema_b
106698715.592119,100,59.7062040120363,schema_b
106698775.298323,100,56.889160990715,schema_b
106698832.187484,100,58.7711150050163,schema_b
106698890.958599,100,58.0910349935293,schema_b
106698949.049634,100,54.3035420030355,schema_b
106699003.353176,100,56.1328250020742,schema_b
106699059.486001,100,54.4256229996681,schema_b
106699113.911624,100,3.1435230076313,schema_b
106699117.055147,100,2.54792200028896,schema_b
106699119.603069,100,60.8606539964676,schema_b
106699180.463723,100,57.0110009908676,schema_b
106699237.474724,100,57.880426004529,schema_b
106699295.35515,100,59.5427480041981,schema_b
106699354.897898,100,59.4862679988146,schema_b
106699414.384166,100,54.206183001399,schema_b
106699468.590349,100,57.6764899939299,schema_b
106699526.266839,100,57.0728089958429,schema_b
106699583.339648,100,56.1124560087919,schema_b
106699639.452104,100,57.0441059917212,schema_b
106699696.49621,100,60.4529410004616,schema_b
106699756.949151,100,59.8697559982538,schema_b
106699816.818907,100,56.2329370081425,schema_b
106699873.051844,100,52.4403239935637,schema_b
106699925.492168,100,56.1013690084219,schema_b
