model_id,chunk_tokens,op_name,timed_iteration,duration_us,baseline_vram_bytes,peak_vram_bytes,dynamic_workspace_bytes,output_bytes,point_id,public_status,failure_kind,failure_cause,raw_output_path
facebook/opt-125m,64,out_proj,4,63.48799914121628,24229376,24327680,98304,98304,prefill-facebook-opt-125m-chunk-64,success,,,/mnt/data/dheeraj/dicertation/inference-profile/runs/local-smoke-20260410-04/raw/points/prefill/prefill-facebook-opt-125m-chunk-64.csv
facebook/opt-125m,64,fc1,0,58.079998940229416,24229376,24622592,393216,393216,prefill-facebook-opt-125m-chunk-64,success,,,/mnt/data/dheeraj/dicertation/inference-profile/runs/local-smoke-20260410-04/raw/points/prefill/prefill-facebook-opt-125m-chunk-64.csv
facebook/opt-125m,64,fc1,1,69.63200122117996,24229376,24622592,393216,393216,prefill-facebook-opt-125m-chunk-64,success,,,/mnt/data/dheeraj/dicertation/inference-profile/runs/local-smoke-20260410-04/raw/points/prefill/prefill-facebook-opt-125m-chunk-64.csv
facebook/opt-125m,64,fc1,2,58.6559996008873,24229376,24622592,393216,393216,prefill-facebook-opt-125m-chunk-64,success,,,/mnt/data/dheeraj/dicertation/inference-profile/runs/local-smoke-20260410-04/raw/points/prefill/prefill-facebook-opt-125m-chunk-64.csv
facebook/opt-125m,64,fc1,3,57.34400078654289,24229376,24622592,393216,393216,prefill-facebook-opt-125m-chunk-64,success,,,/mnt/data/dheeraj/dicertation/inference-profile/runs/local-smoke-20260410-04/raw/points/prefill/prefill-facebook-opt-125m-chunk-64.csv
facebook/opt-125m,64,fc1,4,56.32000043988228,24229376,24622592,393216,393216,prefill-facebook-opt-125m-chunk-64,success,,,/mnt/data/dheeraj/dicertation/inference-profile/runs/local-smoke-20260410-04/raw/points/prefill/prefill-facebook-opt-125m-chunk-64.csv
facebook/opt-125m,64,fc2,0,72.7040022611618,24229376,24327680,98304,98304,prefill-facebook-opt-125m-chunk-64,success,,,/mnt/data/dheeraj/dicertation/inference-profile/runs/local-smoke-20260410-04/raw/points/prefill/prefill-facebook-opt-125m-chunk-64.csv
facebook/opt-125m,64,fc2,1,74.5920017361641,24229376,24327680,98304,98304,prefill-facebook-opt-125m-chunk-64,success,,,/mnt/data/dheeraj/dicertation/inference-profile/runs/local-smoke-20260410-04/raw/points/prefill/prefill-facebook-opt-125m-chunk-64.csv
facebook/opt-125m,64,fc2,2,65.60000032186508,24229376,24327680,98304,98304,prefill-facebook-opt-125m-chunk-64,success,,,/mnt/data/dheeraj/dicertation/inference-profile/runs/local-smoke-20260410-04/raw/points/prefill/prefill-facebook-opt-125m-chunk-64.csv
facebook/opt-125m,64,fc2,3,64.7360011935234,24229376,24327680,98304,98304,prefill-facebook-opt-125m-chunk-64,success,,,/mnt/data/dheeraj/dicertation/inference-profile/runs/local-smoke-20260410-04/raw/points/prefill/prefill-facebook-opt-125m-chunk-64.csv
facebook/opt-125m,64,fc2,4,64.38399851322174,24229376,24327680,98304,98304,prefill-facebook-opt-125m-chunk-64,success,,,/mnt/data/dheeraj/dicertation/inference-profile/runs/local-smoke-20260410-04/raw/points/prefill/prefill-facebook-opt-125m-chunk-64.csv
