model_id,sequence_length,block_size,op_type,op_name,sm_ai_partition,timed_iteration,duration_us,baseline_vram_bytes,peak_vram_bytes,dynamic_workspace_bytes,output_bytes,point_id,public_status,failure_kind,failure_cause,raw_output_path
facebook/opt-125m,1024,64,gemv,fc1,100,2,61.43999844789505,26892800,26898944,6144,6144,decode-facebook-opt-125m-seq-1024-block-64,success,,,/mnt/data/dheeraj/dicertation/inference-profile/runs/local-smoke-20260410-05/raw/points/decode/decode-facebook-opt-125m-seq-1024-block-64.csv
facebook/opt-125m,1024,64,gemv,fc2,100,2,59.39200147986412,26892800,26894336,1536,1536,decode-facebook-opt-125m-seq-1024-block-64,success,,,/mnt/data/dheeraj/dicertation/inference-profile/runs/local-smoke-20260410-05/raw/points/decode/decode-facebook-opt-125m-seq-1024-block-64.csv
facebook/opt-125m,1024,64,attention_fetch_compute,,100,2,1931.264042854309,26892800,26937856,45056,25344,decode-facebook-opt-125m-seq-1024-block-64,success,,,/mnt/data/dheeraj/dicertation/inference-profile/runs/local-smoke-20260410-05/raw/points/decode/decode-facebook-opt-125m-seq-1024-block-64.csv
facebook/opt-125m,1024,64,reduction_overhead,,100,2,751.7759799957275,26933760,26939904,6144,1536,decode-facebook-opt-125m-seq-1024-block-64,success,,,/mnt/data/dheeraj/dicertation/inference-profile/runs/local-smoke-20260410-05/raw/points/decode/decode-facebook-opt-125m-seq-1024-block-64.csv
facebook/opt-125m,1024,64,gemv,q_proj,100,3,65.5359998345375,26892800,26894336,1536,1536,decode-facebook-opt-125m-seq-1024-block-64,success,,,/mnt/data/dheeraj/dicertation/inference-profile/runs/local-smoke-20260410-05/raw/points/decode/decode-facebook-opt-125m-seq-1024-block-64.csv
facebook/opt-125m,1024,64,gemv,k_proj,100,3,60.38400158286095,26892800,26894336,1536,1536,decode-facebook-opt-125m-seq-1024-block-64,success,,,/mnt/data/dheeraj/dicertation/inference-profile/runs/local-smoke-20260410-05/raw/points/decode/decode-facebook-opt-125m-seq-1024-block-64.csv
facebook/opt-125m,1024,64,gemv,v_proj,100,3,67.58400052785873,26892800,26894336,1536,1536,decode-facebook-opt-125m-seq-1024-block-64,success,,,/mnt/data/dheeraj/dicertation/inference-profile/runs/local-smoke-20260410-05/raw/points/decode/decode-facebook-opt-125m-seq-1024-block-64.csv
facebook/opt-125m,1024,64,gemv,out_proj,100,3,61.3120011985302,26892800,26894336,1536,1536,decode-facebook-opt-125m-seq-1024-block-64,success,,,/mnt/data/dheeraj/dicertation/inference-profile/runs/local-smoke-20260410-05/raw/points/decode/decode-facebook-opt-125m-seq-1024-block-64.csv
facebook/opt-125m,1024,64,gemv,fc1,100,3,63.48799914121628,26892800,26898944,6144,6144,decode-facebook-opt-125m-seq-1024-block-64,success,,,/mnt/data/dheeraj/dicertation/inference-profile/runs/local-smoke-20260410-05/raw/points/decode/decode-facebook-opt-125m-seq-1024-block-64.csv
facebook/opt-125m,1024,64,gemv,fc2,100,3,61.344001442193985,26892800,26894336,1536,1536,decode-facebook-opt-125m-seq-1024-block-64,success,,,/mnt/data/dheeraj/dicertation/inference-profile/runs/local-smoke-20260410-05/raw/points/decode/decode-facebook-opt-125m-seq-1024-block-64.csv
facebook/opt-125m,1024,64,attention_fetch_compute,,100,3,1945.7600116729736,26892800,26937856,45056,25344,decode-facebook-opt-125m-seq-1024-block-64,success,,,/mnt/data/dheeraj/dicertation/inference-profile/runs/local-smoke-20260410-05/raw/points/decode/decode-facebook-opt-125m-seq-1024-block-64.csv
facebook/opt-125m,1024,64,reduction_overhead,,100,3,766.0800218582153,26933760,26939904,6144,1536,decode-facebook-opt-125m-seq-1024-block-64,success,,,/mnt/data/dheeraj/dicertation/inference-profile/runs/local-smoke-20260410-05/raw/points/decode/decode-facebook-opt-125m-seq-1024-block-64.csv
facebook/opt-125m,1024,64,gemv,q_proj,100,4,65.5359998345375,26892800,26894336,1536,1536,decode-facebook-opt-125m-seq-1024-block-64,success,,,/mnt/data/dheeraj/dicertation/inference-profile/runs/local-smoke-20260410-05/raw/points/decode/decode-facebook-opt-125m-seq-1024-block-64.csv
facebook/opt-125m,1024,64,gemv,k_proj,100,4,59.39200147986412,26892800,26894336,1536,1536,decode-facebook-opt-125m-seq-1024-block-64,success,,,/mnt/data/dheeraj/dicertation/inference-profile/runs/local-smoke-20260410-05/raw/points/decode/decode-facebook-opt-125m-seq-1024-block-64.csv
facebook/opt-125m,1024,64,gemv,v_proj,100,4,61.24800071120262,26892800,26894336,1536,1536,decode-facebook-opt-125m-seq-1024-block-64,success,,,/mnt/data/dheeraj/dicertation/inference-profile/runs/local-smoke-20260410-05/raw/points/decode/decode-facebook-opt-125m-seq-1024-block-64.csv
facebook/opt-125m,1024,64,gemv,out_proj,100,4,57.18399956822395,26892800,26894336,1536,1536,decode-facebook-opt-125m-seq-1024-block-64,success,,,/mnt/data/dheeraj/dicertation/inference-profile/runs/local-smoke-20260410-05/raw/points/decode/decode-facebook-opt-125m-seq-1024-block-64.csv
facebook/opt-125m,1024,64,gemv,fc1,100,4,62.463998794555664,26892800,26898944,6144,6144,decode-facebook-opt-125m-seq-1024-block-64,success,,,/mnt/data/dheeraj/dicertation/inference-profile/runs/local-smoke-20260410-05/raw/points/decode/decode-facebook-opt-125m-seq-1024-block-64.csv
facebook/opt-125m,1024,64,gemv,fc2,100,4,60.447998344898224,26892800,26894336,1536,1536,decode-facebook-opt-125m-seq-1024-block-64,success,,,/mnt/data/dheeraj/dicertation/inference-profile/runs/local-smoke-20260410-05/raw/points/decode/decode-facebook-opt-125m-seq-1024-block-64.csv
facebook/opt-125m,1024,64,attention_fetch_compute,,100,4,1933.1519603729248,26892800,26937856,45056,25344,decode-facebook-opt-125m-seq-1024-block-64,success,,,/mnt/data/dheeraj/dicertation/inference-profile/runs/local-smoke-20260410-05/raw/points/decode/decode-facebook-opt-125m-seq-1024-block-64.csv
facebook/opt-125m,1024,64,reduction_overhead,,100,4,755.7119727134705,26933760,26939904,6144,1536,decode-facebook-opt-125m-seq-1024-block-64,success,,,/mnt/data/dheeraj/dicertation/inference-profile/runs/local-smoke-20260410-05/raw/points/decode/decode-facebook-opt-125m-seq-1024-block-64.csv
