time_ms,sm_utilization,slot_duration_ms,source_schema,sm_count
106695263.054431,0,11.7205559909344,schema_b,8
106695274.774987,0,2.99728299677372,schema_b,8
106695277.77227,0,2.2211540043354,schema_b,8
106695279.993424,0,2.91262699663639,schema_b,8
106695282.906051,0,41.0355450063944,schema_b,8
106695323.941596,0,2.9121789932251,schema_b,8
106695326.853775,0,2.17737901210785,schema_b,8
106695329.031154,0,2.29942598938942,schema_b,8
106695331.33058,0,14.2018060088158,schema_b,8
106695345.532386,0,2.90888299047947,schema_b,8
106695348.441269,0,2.98904299736023,schema_b,8
106695351.430312,0,3.06822700798512,schema_b,8
106695354.498539,0,10.4974189996719,schema_b,8
106695364.995958,0,2.27933000028133,schema_b,8
106695367.275288,0,12.4148769974709,schema_b,8
106695379.690165,0,1.81331400573254,schema_b,8
106695381.503479,0,1.52248099446297,schema_b,8
106695383.02596,0,5.28994099795818,schema_b,8
106695388.315901,0,2.29494699835777,schema_b,8
106695390.610848,0,9.00367300212383,schema_b,8
106695399.614521,0,3.51137900352478,schema_b,8
106695403.1259,0,2.77848300337791,schema_b,8
106695405.904383,0,20.592148989439,schema_b,8
106695426.496532,0,1.85845001041889,schema_b,8
106695428.354982,0,8.57019999623299,schema_b,8
106695436.925182,0,1.8422580063343,schema_b,8
106695438.76744,0,2.52715499699116,schema_b,8
106695441.294595,0,56.3764729946852,schema_b,8
106695497.671068,0,57.6037860065699,schema_b,8
106695555.274854,0,51.6918119937181,schema_b,8
106695606.966666,0,60.2969090044498,schema_b,8
106695667.263575,0,54.5559429973364,schema_b,8
106695721.819518,0,51.4879080057144,schema_b,8
106695773.307426,0,56.7335129976273,schema_b,8
106695830.040939,0,55.7466959953308,schema_b,8
106695885.787635,0,47.5145920068026,schema_b,8
106695933.302227,0,52.5290450006723,schema_b,8
106695985.831272,0,47.4230719953775,schema_b,8
106696033.254344,0,53.2329660058022,schema_b,8
106696086.48731,0,55.7256559878588,schema_b,8
106696142.212966,0,52.3504690080881,schema_b,8
106696194.563435,0,56.729881003499,schema_b,8
106696251.293316,0,56.3070329874754,schema_b,8
106696307.600349,0,59.7896440029144,schema_b,8
106696367.389993,0,56.9984250068665,schema_b,8
106696424.388418,0,48.4775689989328,schema_b,8
106696472.865987,0,56.5890170037746,schema_b,8
106696529.455004,0,50.6072189956903,schema_b,8
106696580.062223,0,59.6038679927588,schema_b,8
106696639.666091,0,54.8427920043468,schema_b,8
106696694.508883,0,55.3242789953947,schema_b,8
106696749.833162,0,46.7900480031967,schema_b,8
106696796.62321,0,55.8931920081377,schema_b,8
106696852.516402,0,56.0717519968748,schema_b,8
106696908.588154,0,57.6253549903631,schema_b,8
106696966.213509,0,52.7672210037708,schema_b,8
106697018.98073,0,56.2877359986305,schema_b,8
106697075.268466,0,51.9026930034161,schema_b,8
106697127.171159,0,56.6798329949379,schema_b,8
106697183.850992,0,40.8843770027161,schema_b,8
106697224.735369,0,51.5551560074091,schema_b,8
106697276.290525,0,50.4899549931288,schema_b,8
106697326.78048,0,49.3999380022287,schema_b,8
106697376.180418,0,54.2440380007029,schema_b,8
106697430.424456,0,56.7351769953966,schema_b,8
106697487.159633,0,54.4222790002823,schema_b,8
106697541.581912,0,57.3409540057182,schema_b,8
106697598.922866,0,55.048103004694,schema_b,8
106697653.970969,0,49.6769309937954,schema_b,8
106697703.6479,0,59.2588270008564,schema_b,8
106697762.906727,0,53.1621979922056,schema_b,8
106697816.068925,0,60.3800290077925,schema_b,8
106697876.448954,0,60.3135319948196,schema_b,8
106697936.762486,0,59.1450520008802,schema_b,8
106697995.907538,0,61.0198850035667,schema_b,8
106698056.927423,0,55.7023770064116,schema_b,8
106698112.6298,0,60.5234519988298,schema_b,8
106698173.153252,0,53.3085339963436,schema_b,8
106698226.461786,0,59.4173399955034,schema_b,8
106698285.879126,0,59.6561239957809,schema_b,8
106698345.53525,0,58.797051012516,schema_b,8
106698404.332301,0,57.9144430011511,schema_b,8
106698462.246744,0,34.9811709970236,schema_b,8
106698497.227915,0,52.0264679938555,schema_b,8
106698549.254383,0,48.463089004159,schema_b,8
106698597.717472,0,56.7241850048304,schema_b,8
106698654.441657,0,61.150461986661,schema_b,8
106698715.592119,0,59.7062040120363,schema_b,8
106698775.298323,0,56.889160990715,schema_b,8
106698832.187484,0,58.7711150050163,schema_b,8
106698890.958599,0,58.0910349935293,schema_b,8
106698949.049634,0,54.3035420030355,schema_b,8
106699003.353176,0,56.1328250020742,schema_b,8
106699059.486001,0,54.4256229996681,schema_b,8
106699113.911624,0,3.1435230076313,schema_b,8
106699117.055147,0,2.54792200028896,schema_b,8
106699119.603069,0,60.8606539964676,schema_b,8
106699180.463723,0,57.0110009908676,schema_b,8
106699237.474724,0,57.880426004529,schema_b,8
106699295.35515,0,59.5427480041981,schema_b,8
106699354.897898,0,59.4862679988146,schema_b,8
106699414.384166,0,54.206183001399,schema_b,8
106699468.590349,0,57.6764899939299,schema_b,8
106699526.266839,0,57.0728089958429,schema_b,8
106699583.339648,0,56.1124560087919,schema_b,8
106699639.452104,0,57.0441059917212,schema_b,8
106699696.49621,0,60.4529410004616,schema_b,8
106699756.949151,0,59.8697559982538,schema_b,8
106699816.818907,0,56.2329370081425,schema_b,8
106699873.051844,0,52.4403239935637,schema_b,8
106699925.492168,0,56.1013690084219,schema_b,8
106699981.593537,0,46.7435349971056,schema_b,8
106700028.337072,0,60.2250999957323,schema_b,8
106700088.562172,0,60.1558369994164,schema_b,8
106700148.718009,0,56.7322650104761,schema_b,8
106700205.450274,0,50.7283390015364,schema_b,8
106700256.178613,0,58.4690669924021,schema_b,8
106700314.64768,0,55.9626480042934,schema_b,8
106700370.610328,0,54.1810629963875,schema_b,8
106700424.791391,0,52.9768369942904,schema_b,8
106700477.768228,0,49.6641779989004,schema_b,8
106700527.432406,0,55.5287600010633,schema_b,8
106700582.961166,0,57.7050179988146,schema_b,8
106700640.666184,0,61.3007650077343,schema_b,8
106700701.966949,0,46.5143509954214,schema_b,8
106700748.4813,0,42.0855939984322,schema_b,8
